Total Awards,Award Type,Year,Institution,Campus,County,2 Digit CIP,6 Digit CIP,4 Digit CIP,State
1,Certificate,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",47,47.0201,47.02,Tennessee
2,Certificate,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee
4,Certificate,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee
1,Certificate,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee
1,Certificate,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee
2,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",47,47.0201,47.02,Tennessee
9,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee
10,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee
3,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee
3,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",51,51.0801,51.08,Tennessee
7,Diploma,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee
3,Diploma,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee
5,Diploma,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee
1,Certificate,2019-20,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",47,47.0604,47.06,Tennessee
1,Diploma,2021-22,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",47,47.0604,47.06,Tennessee
3,Diploma,2021-22,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",46,46.0415,46.04,Tennessee
4,Diploma,2019-20,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",47,47.0604,47.06,Tennessee
2,Certificate,2019-20,Hohenwald,Lawrence County Instructional Service Center,"Lawrence County, TN",47,47.0303,47.03,Tennessee
3,Diploma,2021-22,Hohenwald,Lawrence County Instructional Service Center,"Lawrence County, TN",47,47.0303,47.03,Tennessee
4,Diploma,2019-20,Hohenwald,Lawrence County Instructional Service Center,"Lawrence County, TN",47,47.0303,47.03,Tennessee
2,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.041,12.04,Tennessee
3,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.0401,12.04,Tennessee
2,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee
4,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0105,47.01,Tennessee
5,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.0409,12.04,Tennessee
1,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee
4,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee
16,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",12,12.0409,12.04,Tennessee
1,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",48,48.0501,48.05,Tennessee
1,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",51,51.0801,51.08,Tennessee
1,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",12,12.041,12.04,Tennessee
5,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee
2,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0303,47.03,Tennessee
3,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",52,52.0402,52.04,Tennessee
10,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",52,52.0402,52.04,Tennessee
5,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",48,48.0508,48.05,Tennessee
6,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.0401,12.04,Tennessee
2,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee
2,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0303,47.03,Tennessee
1,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",15,15.0305,15.03,Tennessee
4,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee
6,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",48,48.0501,48.05,Tennessee
1,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",51,51.0801,51.08,Tennessee
7,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee
8,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",51,51.0801,51.08,Tennessee
1,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0105,47.01,Tennessee
16,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",12,12.0401,12.04,Tennessee
6,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee
3,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0303,47.03,Tennessee
10,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",52,52.0402,52.04,Tennessee
3,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",48,48.0508,48.05,Tennessee
13,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",51,51.0909,51.09,Tennessee
2,Certificate,2021-22,Hohenwald,Maury County Instructional Service Center,"Maury County, TN",47,47.0303,47.03,Tennessee
1,Certificate,2019-20,Hohenwald,Maury County Instructional Service Center,"Maury County, TN",47,47.0303,47.03,Tennessee
2,Diploma,2021-22,Hohenwald,Maury County Instructional Service Center,"Maury County, TN",47,47.0303,47.03,Tennessee
8,Diploma,2019-20,Hohenwald,Maury County Instructional Service Center,"Maury County, TN",47,47.0303,47.03,Tennessee
2,Certificate,2021-22,Hohenwald,Perry County Instructional Service Center,"Maury County, TN",48,48.0508,48.05,Tennessee
2,Certificate,2019-20,Hohenwald,Perry County Instructional Service Center,"Maury County, TN",48,48.0508,48.05,Tennessee
2,Diploma,2021-22,Hohenwald,Perry County Instructional Service Center,"Maury County, TN",48,48.0508,48.05,Tennessee
3,Diploma,2019-20,Hohenwald,Perry County Instructional Service Center,"Maury County, TN",47,47.0303,47.03,Tennessee
3,Certificate,2019-20,Hohenwald,Wayne County Instructional Service Center,"Wayne County, TN",47,47.0303,47.03,Tennessee
6,Diploma,2019-20,Hohenwald,Wayne County Instructional Service Center,"Wayne County, TN",47,47.0303,47.03,Tennessee
1,Certificate,2021-22,Jacksboro,Main Campus,"Campbell County, TN",15,15.0613,15.06,Tennessee
7,Certificate,2021-22,Jacksboro,Main Campus,"Campbell County, TN",47,47.0604,47.06,Tennessee
4,Certificate,2021-22,Jacksboro,Main Campus,"Campbell County, TN",48,48.0508,48.05,Tennessee
1,Certificate,2021-22,Jacksboro,Main Campus,"Campbell County, TN",12,12.0401,12.04,Tennessee
2,Certificate,2021-22,Jacksboro,Main Campus,"Campbell County, TN",46,46.0415,46.04,Tennessee
3,Certificate,2021-22,Jacksboro,Main Campus,"Campbell County, TN",47,47.0611,47.06,Tennessee
3,Certificate,2019-20,Jacksboro,Main Campus,"Campbell County, TN",48,48.0508,48.05,Tennessee
2,Certificate,2019-20,Jacksboro,Main Campus,"Campbell County, TN",52,52.0402,52.04,Tennessee
1,Certificate,2019-20,Jacksboro,Main Campus,"Campbell County, TN",46,46.0302,46.03,Tennessee
1,Certificate,2019-20,Jacksboro,Main Campus,"Campbell County, TN",48,48.0501,48.05,Tennessee
3,Certificate,2019-20,Jacksboro,Main Campus,"Campbell County, TN",47,47.0604,47.06,Tennessee
16,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",48,48.0508,48.05,Tennessee
13,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",51,51.0805,51.08,Tennessee
4,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",47,47.0604,47.06,Tennessee
7,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",48,48.0501,48.05,Tennessee
1,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",52,52.0904,52.09,Tennessee
1,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",15,15.0613,15.06,Tennessee
12,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",12,12.0401,12.04,Tennessee
12,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",47,47.0201,47.02,Tennessee
5,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",47,47.0611,47.06,Tennessee
4,Diploma,2021-22,Jacksboro,Main Campus,"Campbell County, TN",52,52.0402,52.04,Tennessee
6,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",47,47.0611,47.06,Tennessee
4,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",52,52.0402,52.04,Tennessee
14,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",48,48.0508,48.05,Tennessee
6,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",51,51.0805,51.08,Tennessee
3,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",48,48.0501,48.05,Tennessee
6,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",46,46.0302,46.03,Tennessee
8,Diploma,2019-20,Jacksboro,Main Campus,"Campbell County, TN",47,47.0604,47.06,Tennessee
2,Certificate,2019-20,Jacksboro,Woodson Mall,"Campbell County, TN",12,12.0401,12.04,Tennessee
11,Diploma,2019-20,Jacksboro,Woodson Mall,"Campbell County, TN",12,12.0401,12.04,Tennessee
1,Diploma,2021-22,Jackson,Brownsville/Haywood Extension Campus,"Haywood County, TN",48,48.0501,48.05,Tennessee
7,Diploma,2021-22,Jackson,Brownsville/Haywood Extension Campus,"Haywood County, TN",51,51.0707,51.07,Tennessee
5,Certificate,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0508,48.05,Tennessee
1,Certificate,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0402,52.04,Tennessee
4,Certificate,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0407,52.04,Tennessee
1,Certificate,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",46,46.0302,46.03,Tennessee
1,Certificate,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0501,48.05,Tennessee
3,Certificate,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0501,48.05,Tennessee
2,Certificate,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",46,46.0302,46.03,Tennessee
3,Certificate,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0407,52.04,Tennessee
2,Certificate,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0402,52.04,Tennessee
6,Certificate,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0508,48.05,Tennessee
12,Diploma,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0508,48.05,Tennessee
1,Diploma,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0402,52.04,Tennessee
18,Diploma,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",46,46.0302,46.03,Tennessee
5,Diploma,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0407,52.04,Tennessee
6,Diploma,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0501,48.05,Tennessee
3,Diploma,2021-22,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0904,52.09,Tennessee
1,Diploma,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0407,52.04,Tennessee
19,Diploma,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",46,46.0302,46.03,Tennessee
6,Diploma,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0501,48.05,Tennessee
4,Diploma,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0402,52.04,Tennessee
7,Diploma,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",48,48.0508,48.05,Tennessee
2,Diploma,2019-20,Jackson,Lexington Extension Campus,"Henderson County, TN",52,52.0904,52.09,Tennessee
2,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",51,51.0707,51.07,Tennessee
56,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",49,49.0205,49.02,Tennessee
1,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",52,52.0402,52.04,Tennessee
2,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0303,47.03,Tennessee
13,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",48,48.0508,48.05,Tennessee
3,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",46,46.0302,46.03,Tennessee
5,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0603,47.06,Tennessee
5,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0604,47.06,Tennessee
6,Certificate,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0201,47.02,Tennessee
5,Certificate,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0201,47.02,Tennessee
2,Certificate,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0603,47.06,Tennessee
11,Certificate,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0604,47.06,Tennessee
2,Certificate,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0303,47.03,Tennessee
36,Certificate,2019-20,Jackson,Main Campus,"Madison County, TN",49,49.0205,49.02,Tennessee
10,Certificate,2019-20,Jackson,Main Campus,"Madison County, TN",48,48.0508,48.05,Tennessee
5,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",51,51.0707,51.07,Tennessee
5,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",52,52.0402,52.04,Tennessee
23,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0201,47.02,Tennessee
9,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",51,51.0909,51.09,Tennessee
12,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",48,48.0508,48.05,Tennessee
15,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0303,47.03,Tennessee
11,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0604,47.06,Tennessee
5,Diploma,2021-22,Jackson,Main Campus,"Madison County, TN",47,47.0603,47.06,Tennessee
10,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0201,47.02,Tennessee
5,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0603,47.06,Tennessee
7,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",47,47.0303,47.03,Tennessee
4,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",51,51.0707,51.07,Tennessee
8,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",52,52.0402,52.04,Tennessee
10,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",48,48.0508,48.05,Tennessee
11,Diploma,2019-20,Jackson,Main Campus,"Madison County, TN",51,51.0909,51.09,Tennessee
2,Certificate,2021-22,Jackson,McWherter Instructional Service Center,"Madison County, TN",48,48.0507,48.05,Tennessee
3,Certificate,2019-20,Jackson,McWherter Instructional Service Center,"Madison County, TN",48,48.0507,48.05,Tennessee
6,Diploma,2021-22,Jackson,McWherter Instructional Service Center,"Madison County, TN",48,48.0507,48.05,Tennessee
12,Diploma,2019-20,Jackson,McWherter Instructional Service Center,"Madison County, TN",48,48.0507,48.05,Tennessee
1,Certificate,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",47,47.0201,47.02,Tennessee
2,Certificate,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",51,51.0801,51.08,Tennessee
3,Certificate,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",47,47.0604,47.06,Tennessee
1,Certificate,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",47,47.0303,47.03,Tennessee
5,Certificate,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",48,48.0508,48.05,Tennessee
8,Diploma,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",47,47.0201,47.02,Tennessee
9,Diploma,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",51,51.0801,51.08,Tennessee
6,Diploma,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",47,47.0303,47.03,Tennessee
3,Diploma,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",47,47.0604,47.06,Tennessee
6,Diploma,2021-22,Jackson,TCAT Jackson - Whiteville Branch Campus,"Hardeman County, TN",48,48.0508,48.05,Tennessee
2,Certificate,2019-20,Knoxville,Anderson County Career and Technical Center,"Anderson County, TN",48,48.0508,48.05,Tennessee
4,Diploma,2021-22,Knoxville,Anderson County Career and Technical Center,"Anderson County, TN",48,48.0501,48.05,Tennessee
2,Diploma,2021-22,Knoxville,Anderson County Career and Technical Center,"Anderson County, TN",48,48.0508,48.05,Tennessee
7,Diploma,2019-20,Knoxville,Anderson County Career and Technical Center,"Anderson County, TN",48,48.0508,48.05,Tennessee
3,Diploma,2019-20,Knoxville,Anderson County Career and Technical Center,"Anderson County, TN",48,48.0501,48.05,Tennessee
9,Certificate,2021-22,Knoxville,Anderson County Higher Education Center Extension,"Anderson County, TN",48,48.0508,48.05,Tennessee
2,Certificate,2021-22,Knoxville,Anderson County Higher Education Center Extension,"Anderson County, TN",47,47.0605,47.06,Tennessee
3,Certificate,2021-22,Knoxville,Anderson County Higher Education Center Extension,"Anderson County, TN",47,47.0604,47.06,Tennessee
6,Diploma,2021-22,Knoxville,Anderson County Higher Education Center Extension,"Anderson County, TN",48,48.0508,48.05,Tennessee
1,Diploma,2021-22,Knoxville,Anderson County Higher Education Center Extension,"Anderson County, TN",47,47.0303,47.03,Tennessee
4,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",52,52.0402,52.04,Tennessee
1,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0603,47.06,Tennessee
9,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0605,47.06,Tennessee
5,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",51,51.071,51.07,Tennessee
3,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",46,46.0502,46.05,Tennessee
7,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0201,47.02,Tennessee
10,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",48,48.0508,48.05,Tennessee
35,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",49,49.0205,49.02,Tennessee
8,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0604,47.06,Tennessee
1,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",48,48.0501,48.05,Tennessee
2,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",51,51.0601,51.06,Tennessee
16,Certificate,2021-22,Knoxville,Main Campus,"Knox County, TN",46,46.0302,46.03,Tennessee
19,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0604,47.06,Tennessee
1,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0603,47.06,Tennessee
10,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",46,46.0302,46.03,Tennessee
1,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",48,48.0501,48.05,Tennessee
1,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0201,47.02,Tennessee
1,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",46,46.0502,46.05,Tennessee
4,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0605,47.06,Tennessee
1,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",48,48.0508,48.05,Tennessee
4,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",52,52.0402,52.04,Tennessee
12,Certificate,2019-20,Knoxville,Main Campus,"Knox County, TN",49,49.0205,49.02,Tennessee
18,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0603,47.06,Tennessee
6,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",51,51.0801,51.08,Tennessee
25,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",51,51.0909,51.09,Tennessee
3,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0604,47.06,Tennessee
25,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0201,47.02,Tennessee
17,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",51,51.071,51.07,Tennessee
30,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",12,12.0401,12.04,Tennessee
16,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",47,47.0605,47.06,Tennessee
7,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",52,52.0402,52.04,Tennessee
9,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",48,48.0501,48.05,Tennessee
22,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",46,46.0302,46.03,Tennessee
15,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",51,51.0601,51.06,Tennessee
10,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",46,46.0502,46.05,Tennessee
30,Diploma,2021-22,Knoxville,Main Campus,"Knox County, TN",48,48.0508,48.05,Tennessee
8,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",46,46.0502,46.05,Tennessee
16,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",51,51.0601,51.06,Tennessee
22,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",46,46.0302,46.03,Tennessee
2,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0604,47.06,Tennessee
11,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",48,48.0501,48.05,Tennessee
14,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",51,51.0801,51.08,Tennessee
8,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",52,52.0402,52.04,Tennessee
6,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0603,47.06,Tennessee
20,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",51,51.071,51.07,Tennessee
12,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0303,47.03,Tennessee
25,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",51,51.0909,51.09,Tennessee
20,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",12,12.0401,12.04,Tennessee
16,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0201,47.02,Tennessee
17,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",47,47.0605,47.06,Tennessee
12,Diploma,2019-20,Knoxville,Main Campus,"Knox County, TN",48,48.0508,48.05,Tennessee
4,Certificate,2021-22,Knoxville,Oak Ridge High School,"Anderson County, TN",48,48.0508,48.05,Tennessee
10,Diploma,2021-22,Knoxville,Oak Ridge High School,"Anderson County, TN",48,48.0508,48.05,Tennessee
6,Diploma,2019-20,Knoxville,Oak Ridge High School,"Anderson County, TN",48,48.0508,48.05,Tennessee
3,Certificate,2021-22,Knoxville,Pellissippi State Community College -Strawberry Pl,"Knox County, TN",47,47.0201,47.02,Tennessee
1,Certificate,2019-20,Knoxville,Pellissippi State Community College -Strawberry Pl,"Knox County, TN",47,47.0201,47.02,Tennessee
15,Diploma,2021-22,Knoxville,Pellissippi State Community College -Strawberry Pl,"Knox County, TN",47,47.0303,47.03,Tennessee
11,Diploma,2021-22,Knoxville,Pellissippi State Community College -Strawberry Pl,"Knox County, TN",47,47.0201,47.02,Tennessee
5,Diploma,2019-20,Knoxville,Pellissippi State Community College -Strawberry Pl,"Knox County, TN",48,48.0508,48.05,Tennessee
8,Diploma,2019-20,Knoxville,Pellissippi State Community College -Strawberry Pl,"Knox County, TN",47,47.0201,47.02,Tennessee
3,Certificate,2021-22,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",47,47.0303,47.03,Tennessee
3,Certificate,2021-22,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",51,51.0801,51.08,Tennessee
1,Certificate,2021-22,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",48,48.0508,48.05,Tennessee
1,Certificate,2019-20,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",47,47.0303,47.03,Tennessee
14,Diploma,2021-22,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",48,48.0508,48.05,Tennessee
7,Diploma,2021-22,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",47,47.0303,47.03,Tennessee
9,Diploma,2021-22,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",51,51.0801,51.08,Tennessee
15,Diploma,2019-20,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",48,48.0508,48.05,Tennessee
3,Diploma,2019-20,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",51,51.0801,51.08,Tennessee
5,Diploma,2019-20,Livingston,Cookeville Higher Education Campus,"Putnam County, TN",47,47.0303,47.03,Tennessee
2,Certificate,2019-20,Livingston,Fitzgerald Collision and  Repair Center  ,"Overton County, TN",47,47.0605,47.06,Tennessee
1,Diploma,2021-22,Livingston,Fitzgerald Collision and  Repair Center  ,"Overton County, TN",47,47.0605,47.06,Tennessee
8,Diploma,2019-20,Livingston,Fitzgerald Collision and  Repair Center  ,"Overton County, TN",47,47.0605,47.06,Tennessee
4,Certificate,2021-22,Livingston,Jackson County ISC,"Jackson County, TN",47,47.0201,47.02,Tennessee
8,Certificate,2021-22,Livingston,Jackson County ISC,"Jackson County, TN",51,51.0904,51.09,Tennessee
11,Certificate,2021-22,Livingston,Jackson County ISC,"Jackson County, TN",46,46.0301,46.03,Tennessee
1,Diploma,2021-22,Livingston,Jackson County ISC,"Jackson County, TN",47,47.0201,47.02,Tennessee
4,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",52,52.0402,52.04,Tennessee
1,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",47,47.0605,47.06,Tennessee
13,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",51,51.0904,51.09,Tennessee
1,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",47,47.0303,47.03,Tennessee
2,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",11,11.0103,11.01,Tennessee
11,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",12,12.041,12.04,Tennessee
6,Certificate,2021-22,Livingston,Main Campus,"Overton County, TN",47,47.0604,47.06,Tennessee
5,Certificate,2019-20,Livingston,Main Campus,"Overton County, TN",12,12.041,12.04,Tennessee
1,Certificate,2019-20,Livingston,Main Campus,"Overton County, TN",11,11.0103,11.01,Tennessee
2,Certificate,2019-20,Livingston,Main Campus,"Overton County, TN",48,48.0501,48.05,Tennessee
1,Certificate,2019-20,Livingston,Main Campus,"Overton County, TN",12,12.0413,12.04,Tennessee
